الوقت,النص,التصنيف,المشاعر,درجة_الأولوية,الملخص,وقت_الاستجابة
2026-05-27 12:56:06,"أرفقت جميع المستندات المطلوبة وما زال الطلب يظهر قيد المراجعة منذ فترة طويلة دون توضيح السبب.
",المحافظات والمراكز والقرى والهجر,سلبي,منخفض,طلب متابعة مدة طويلة دون توضيح سبب,3.43s
2026-05-27 12:56:11,"وصلتني رسالة تفيد بنقص مستندات لكن لم يتم تحديد المستند الناقص أو طريقة رفعه.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,عاجلة,نقص مستندات لم يتم تحديد,5.12s
2026-05-27 12:56:15,"طلبت متابعة معاملة سابقة ولم أستلم رقمًا مرجعيًا يمكنني استخدامه عند المراجعة.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,عاجلة,طلب رقم مرجعي للمراجعة,4.45s
2026-05-27 12:56:19,"راجعت الإمارة مرتين بسبب نفس الطلب، وفي كل مرة يطلب مني شرح الموضوع من جديد.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,منخفض,راجعت الإمارة مرتين بسبب نفس الطلب وطلب شرح من جديد,3.51s
2026-05-27 12:56:23,"تم إغلاق طلبي في النظام دون توضيح نتيجة المعالجة أو سبب الإغلاق.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,إغلاق طلب بدون توضيح نتيجة,4.01s
2026-05-27 12:56:27,"أرغب بمعرفة هل معاملتي ما زالت لدى الإمارة أم تمت إحالتها للجهة المختصة.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,متوسط,معرفة حالة المعاملة,4.44s
2026-05-27 12:56:32,"توجد معاملة مرتبطة بطلب سابق، لكن النظام لا يربط بين الطلبين وهذا يسبب تكرار المراجعة.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,عاجلة,تكرار المراجعة بسبب عدم ربط الطلبين,4.19s
2026-05-27 12:56:35,"أحتاج تحديث بيانات التواصل المرتبطة بطلب قائم لكن لا توجد أيقونة واضحة للتعديل.
",المركز الشامل وخدمات الجمهور,سلبي,متوسط,نقص إيقونة تعديل في النموذج,3.08s
2026-05-27 12:56:39,"بعد رفع الطلب، لم تصلني نسخة من النموذج أو ملخص لما تم إرساله.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,عدم توفير نسخة من النموذج أو ملخص ما تم إرساله,4.47s
2026-05-27 12:56:43,"أرغب في معرفة المدة المتوقعة لمعالجة طلبي حتى لا أحتاج للمراجعة المتكررة.
",الاستفسارات عن المتطلبات والإجراءات,محايد,منخفض,طلب معلومات عن المدة المتوقعة لمعالجة طلبي,4.18s
2026-05-27 12:56:47,"تم استلام طلبي من الموظف، لكن لم يتم تسجيله في النظام مباشرة ولم يصلني رقم متابعة.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,عدم تسجيل طلب وغياب رقم متابعة,4.11s
2026-05-27 12:56:54,"حالة الطلب تغيرت إلى مكتمل، لكن لم يتم توضيح القرار النهائي أو الخطوة التالية.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,متوسط,طلب مكتمل لكن لا توضيح القرار,6.48s
2026-05-27 12:56:58,"أحتاج إمكانية رفع مرفقات إضافية على نفس الطلب بدل إنشاء طلب جديد.
",المركز الشامل وخدمات الجمهور,سلبي,متوسط,توجد مشكلة في إضافة المرفقات مباشرة,3.72s
2026-05-27 12:57:01,"تأخرت الإفادة عن معاملة عاجلة مرتبطة بظرف أسري، وأحتاج تصعيدها للإدارة المختصة.
",حالات عاجلة وحرجة,سلبي,عالي,تأخرت الإفادة عن معاملة عاجلة مرتبطة بظرف أسري,3.50s
2026-05-27 12:57:04,"لم تصلني إفادة بعد استكمال النواقص رغم رفعها قبل عدة أيام.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,متوسط,عدم متابعة المعاملة بعد رفعها,2.83s
2026-05-27 12:57:08,"أرغب في استلام تنبيه عند انتقال الطلب من مرحلة لأخرى بدل الدخول اليومي للمنصة.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,منخفض,استلام تنبيه عند انتقال الطلب بين مرحلات,4.28s
2026-05-27 12:57:13,"تعامل موظف الاستقبال كان ممتازًا، لكن الإجراءات غير واضحة قبل الوصول للكاونتر.
",الاستفسارات عن المتطلبات والإجراءات,محايد,متوسط,إجراءات غير واضحة قبل الوصول للكاونتر,5.02s
2026-05-27 12:57:17,"أحتاج مسارًا أسرع لكبار السن وذوي الإعاقة في المركز الشامل.
",اقتراحات تحسين تجربة المستفيد,إيجابي,متوسط,تحسين مسار أسرع لكبار السن وذوي الإعاقة في المركز الشامل,3.72s
2026-05-27 12:57:21,"لا توجد منطقة انتظار كافية عند الازدحام في أوقات الذروة.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,نقص في منطقة انتظار خلال الذروة,3.65s
2026-05-27 12:57:26,"تم توجيهي للإدارة الصحيحة من أول مرة، وهذا اختصر وقت المراجعة.
",المركز الشامل وخدمات الجمهور,إيجابي,متوسط,التوجيه الصحيح واحترام وقت المراجعة,5.04s
2026-05-27 12:57:30,"الطلبات الورقية ما زالت تستخدم في بعض الحالات، ونحتاج توضيح الحالات التي تتطلب ورقًا.
",الاستفسارات عن المتطلبات والإجراءات,محايد,منخفض,طلب توضيح الحالات التي تتطلب ورقًا,4.66s
2026-05-27 12:57:36,"عند الاتصال بالمركز لا يتم الرد أحيانًا، ولا توجد رسالة توضح أوقات العمل.
",حالات عاجلة وحرجة,سلبي,عاجلة,عدم الرد على الاتصال وعدم وجود رسالة أوقات العمل,5.08s
2026-05-27 12:57:39,"أرسلت استفسارًا عبر البريد ولم يصلني رد خلال المدة المتوقعة.
",الاستفسارات عن المتطلبات والإجراءات,سلبي,عاجلة,رد لم يُصل خلال المدة المتوقعة,3.86s
2026-05-27 12:57:43,"الموظف شرح لي النواقص بشكل واضح وساعدني في رفعها على البوابة.
",المركز الشامل وخدمات الجمهور,إيجابي,منخفض,الموظف شرح النواقص وساعد في رفع الطلب على البوابة,3.68s
2026-05-27 12:57:48,"توجد حاجة لتوحيد ردود الموظفين لأن المتطلبات تختلف حسب الموظف.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,عاجلة,تختلف ردود الموظفين بسبب متطلبات مختلفة,4.75s
2026-05-27 12:57:54,"لا أعرف من أين أبدأ عند دخولي المركز، وأقترح وجود موظف توجيه عند المدخل.
",المركز الشامل وخدمات الجمهور,إيجابي,عاجلة,توصية إنشاء موظف توجيه عند المدخل,5.62s
2026-05-27 12:57:57,"تم إنهاء طلبي في زيارة واحدة بعد توفير قائمة المتطلبات مسبقًا.
",متابعة المعاملات والطلبات لدى الإمارة,إيجابي,متوسط,تم إنهاء طلبي في زيارة واحدة بعد توفير قائمة المتطلبات مسبقًا.,3.03s
2026-05-27 12:58:01,"أحتاج إمكانية حجز موعد للمركز الشامل بدل الحضور والانتظار.
",القنوات الرقمية والنماذج الإلكترونية,محايد,متوسط,طلب استخدام المنصة الإلكترونية لحجز موعد بدل الحضور,4.67s
2026-05-27 12:58:06,"توجد ملاحظة على عدم وضوح مسار الشكاوى بعد تسليمها في المركز.
",المركز الشامل وخدمات الجمهور,سلبي,متوسط,عدم وضوح مسار الشكاوى بعد تسليمها,4.48s
2026-05-27 12:58:11,"تم رفع بلاغ عن تجمع مياه بعد الأمطار ولم يتم تحديث حالة البلاغ لدى المستفيد.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,عدم تحديث حالة البلاغ,4.95s
2026-05-27 12:58:15,"نأمل متابعة ملاحظة النظافة العامة في أحد الأحياء مع البلدية وإبلاغنا برقم الإحالة.
",المحافظات والمراكز والقرى والهجر,سلبي,منخفض,ملاحظة النظافة العامة في أحد الأحياء مع البلدية,4.39s
2026-05-27 12:58:19,"البلاغ المتعلق بتشوه بصري في مدخل المحافظة تكرر أكثر من مرة دون معالجة واضحة.
",المحافظات والمراكز والقرى والهجر,سلبي,عاجلة,تكرر مشكلة في مدخل المحافظة دون معالجة واضحة,3.65s
2026-05-27 12:58:24,"نحتاج متابعة ضعف شبكة الاتصال في أحد المراكز لأنه يؤثر على تقديم الخدمات الرقمية.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,عالي,,5.04s
2026-05-27 12:58:28,"تمت معالجة بلاغ الإنارة بعد متابعة الإمارة مع الجهة المختصة، ونشكر سرعة التجاوب.
",رضا وشكر,إيجابي,منخفض,تم معالجة بلاغ الإنارة بسرعة وتم شكر سرعة التجاوب,3.75s
2026-05-27 12:58:31,"أرغب بمعرفة الجهة التي تمت إحالة ملاحظتي إليها وموعد الرد المتوقع.
",المركز الشامل وخدمات الجمهور,محايد,متوسط,طلب معرفة الجهة والموعد المتوقع للرد,3.46s
2026-05-27 12:58:35,"توجد ملاحظة على تأخر سفلتة طريق يخدم عدة مزارع، ونطلب متابعة الموضوع مع الجهة المختصة.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,تأخر سفلتة طريق يخدم عدة مزارع ونطلب متابعة,3.96s
2026-05-27 12:58:39,"نرجو من الإمارة متابعة طلب تحسين مدخل المركز مع الجهة المالكة للمشروع.
",المركز الشامل وخدمات الجمهور,إيجابي,منخفض,توصية لتحسين مدخل المركز,3.72s
2026-05-27 12:58:42,"سبق تقديم ملاحظة عن حاويات النظافة ولم تصل إفادة من الجهة المختصة.
",المحافظات والمراكز والقرى والهجر,سلبي,عاجلة,ملاحظة عن حاويات النظافة لم تصل إفادة,3.05s
2026-05-27 12:58:45,"توجد شكوى متكررة من ازدحام عند مخرج أحد الأحياء ونحتاج تنسيقًا مع الجهات ذات العلاقة.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,توجد شكوى متكررة عن ازدحام عند مخرج أحد الأحياء ونحتاج تنسيق مع الجهات ذات العلاقة,3.45s
2026-05-27 12:58:50,"أرسلت ملاحظة عن حفريات مفتوحة قرب طريق عام ولم أستلم ما يفيد إحالتها.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,منخفض,ملاحظة عن حفريات مفتوحة قرب طريق عام دون تلقي ما يفيد إحالتها,4.28s
2026-05-27 12:58:54,"تمت إحالة طلبي إلى البلدية لكن لا تظهر أي تحديثات بعد الإحالة.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,عاجلة,عدم وجود تحديثات بعد الإحالة,4.88s
2026-05-27 12:58:58,"أقترح أن تظهر في منصة الإمارة حالة البلاغ المحال للجهة الخدمية حتى إغلاقه.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,إغلاق بلاغ دون تأكيد,3.97s
2026-05-27 12:59:03,"نحتاج قناة رقمية مخصصة لملاحظات المحافظات والمراكز بدل الاعتماد على المراجعة الحضورية.
",القنوات الرقمية والنماذج الإلكترونية,إيجابي,متوسط,طلب إنشاء قناة رقمية مخصصة لملاحظات المحافظات والمراكز,4.61s
2026-05-27 12:59:10,"تم رفع طلب متعلق بخدمات أحد المراكز ولم يتم إشعار المحافظة بالحالة.
",المركز الشامل وخدمات الجمهور,سلبي,عالي,عدم إشعار المحافظة بالحالة,6.63s
2026-05-27 12:59:14,"أقترح عرض الشكاوى المتكررة حسب المحافظة لتحديد الأولويات الشهرية.
",المحافظات والمراكز والقرى والهجر,سلبي,متوسط,عرض الشكاوى المتكررة حسب المحافظة,3.86s
2026-05-27 12:59:18,"نحتاج متابعة طلبات أهالي القرى التي تتكرر كل موسم أمطار بشكل استباقي.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,متوسط,تطلب متابعة طلبات أهالي القرى خلال موسم الأمطار بشكل استباقي,4.72s
2026-05-27 12:59:22,"الردود على ملاحظات المركز تصل متأخرة ولا يتم توثيقها في سجل موحد.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,ردود على ملاحظات متأخرة وغياب سجل موحد,3.63s
2026-05-27 12:59:28,"أرغب في رفع ملاحظة تخص مركزًا محددًا، لكن النموذج لا يحتوي قائمة للمراكز والهجر.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,عاجلة,نقص قائمة مراكز والهجر في النموذج، يحتاج متابعة فورية,5.97s
2026-05-27 12:59:37,"توجد مطالبات متكررة من الأهالي حول خدمة محددة، ونحتاج معرفة هل سبق تسجيلها في النظام.
",الاستفسارات عن المتطلبات والإجراءات,محايد,متوسط,السؤال عن تسجيل المطالبات,8.72s
2026-05-27 12:59:41,"أهالي إحدى القرى يشكرون المحافظة على سرعة إيصال ملاحظتهم للإمارة ومتابعتها.
",رضا وشكر,إيجابي,منخفض,أهالي إحدى القرى يقدرون المحافظة على سرعة الإيصال وتحقيق المتابعة,4.36s
2026-05-27 12:59:46,"لا نعرف آلية تصعيد الملاحظات التي لا تغلق من الجهة المختصة بعد إحالتها من المحافظة.
",المحافظات والمراكز والقرى والهجر,سلبي,عاجلة,مشكلة في آلية تصاعد الملاحظات في المحافظة، وتحتاج متابعة فورية,5.22s
2026-05-27 12:59:56,"توجد حاجة لتقرير شهري يوضح أكثر الموضوعات تكرارًا في كل محافظة.
",المركز الشامل وخدمات الجمهور,محايد,متوسط,طلب تقرير شهري عن الموضوعات المكررة في المحافظات,10.06s
2026-05-27 13:00:02,"ملاحظات الأهالي تصل عبر أكثر من قناة ولا يتم دمجها عند وجود نفس الموضوع.
",المركز الشامل وخدمات الجمهور,محايد,عاجلة,دمج ملاحظات الأهالي عند نفس الموضوع,5.28s
2026-05-27 13:00:06,"نحتاج ربط ملاحظات المراكز بلوحة متابعة لقياس زمن الإغلاق حسب النطاق الجغرافي.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,متوسط,ربط ملاحظات المراكز بلوحة متابعة لقياس زمن الإغلاق حسب النطاق الجغرافي,4.69s
2026-05-27 13:00:13,"تأخر الرد على ملاحظة من هجرة بعيدة يسبب اضطرار الأهالي للحضور للمحافظة أكثر من مرة.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,حرج,تأخر الرد على ملاحظة من هجرة بعيدة يؤدي إلى اضطرار الأهالي للحضور للمحافظة أكثر من مرة، يتطلب متابعة فورية.,6.25s
2026-05-27 13:00:16,"لا تصلني رسائل التحقق عند محاولة الدخول للبوابة في بعض الأوقات.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,متوسط,عدم تلقي رسائل التحقق عند الدخول للبوابة,3.33s
2026-05-27 13:00:20,"النموذج الإلكتروني لا يقبل بعض المرفقات رغم أنها بصيغة PDF.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,متوسط,فقدان القدرة على إضافة المرفقات,3.91s
2026-05-27 13:00:24,"أحتاج أن تكون التعليمات داخل النموذج أبسط، خصوصًا في خانة وصف الطلب.
",الاستفسارات عن المتطلبات والإجراءات,إيجابي,متوسط,توضيح التعليمات بشكل أبسط,4.36s
2026-05-27 13:00:28,"عند اختيار المحافظة في النموذج لا تظهر بعض المراكز التابعة لها.
",المحافظات والمراكز والقرى والهجر,سلبي,عاجلة,عدم وضوح معلومات عن المحافظات,4.01s
2026-05-27 13:00:32,"أقترح إضافة خيار تتبع الطلب من خلال رقم الجوال ورقم الطلب فقط.
",المركز الشامل وخدمات الجمهور,إيجابي,منخفض,إضافة خيار تتبع الطلب عبر رقم الجوال ورقم الطلب فقط,3.98s
2026-05-27 13:00:36,"تظهر صفحة خطأ بعد إرسال النموذج ولا أعرف هل تم تسجيل الطلب أم لا.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,متوسط,عرض صفحة خطأ بعد إرسال النموذج، لا يعلم هل تم تسجيل الطلب أم لا,3.90s
2026-05-27 13:00:42,"البوابة واضحة وساعدتني في تقديم الطلب دون الحاجة للحضور.
",المركز الشامل وخدمات الجمهور,إيجابي,منخفض,البوابة واضحة وساعدتني في تقديم الطلب دون الحاجة للحضور,6.19s
2026-05-27 13:00:46,"لا توجد صفحة موحدة توضح كل خدمات الإمارة الرقمية وروابطها.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,عاجلة,غياب صفحة موحدة لخدمات الإمارة الرقمية,3.99s
2026-05-27 13:00:50,"ما هي المدة المتوقعة للرد على الشكوى بعد إحالتها للجهة المختصة؟
",حالات عاجلة وحرجة,سلبي,عالي,مدة الانتظار تتجاوز المتوقع,3.71s
2026-05-27 13:00:54,"أرغب بمعرفة طريقة الاعتراض على إغلاق طلب سابق.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,إغلاق طلب سابق دون توضيح,3.65s
2026-05-27 13:00:57,"هل أستطيع تعديل وصف الطلب بعد إرساله إذا اكتشفت خطأ؟
",القنوات الرقمية والنماذج الإلكترونية,إيجابي,متوسط,تعديل طلب بعد إرساله بسبب خطأ,3.19s
2026-05-27 13:01:01,"ما القنوات الرسمية المعتمدة لاستقبال شكاوى وملاحظات الأهالي؟
",القنوات الرقمية والنماذج الإلكترونية,محايد,منخفض,القناوات الرسمية المعتمدة,4.11s
2026-05-27 13:01:06,"أحتاج معرفة هل الشكوى البلدية تقدم عبر الإمارة أم عبر الجهة الخدمية مباشرة.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,توجد مشكلة في إرسال الشكوى عبر الجهة الخدمية,4.97s
2026-05-27 13:01:14,"هل توجد خدمة لإشعار المستفيد عند انتهاء المعالجة؟
",اقتراحات تحسين تجربة المستفيد,إيجابي,متوسط,طلب إضافة خدمة إشعار عند انتهاء المعالجة,7.78s
2026-05-27 13:01:17,"أقترح أن يتيح النظام تقييم الخدمة بعد إغلاق الطلب مباشرة.
",القنوات الرقمية والنماذج الإلكترونية,إيجابي,متوسط,تقوية نظام تقييم الخدمة بعد إغلاق الطلب,3.20s
2026-05-27 13:01:20,"يفضل وجود رد آلي يوضح للمستفيد هل طلبه من اختصاص الإمارة أم جهة أخرى.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,متوسط,فقدان بيانات النموذج وضطرة إعادة الطلب من البداية,3.39s
2026-05-27 13:01:25,"نقترح استخدام تحليل المشاعر لاكتشاف الحالات الغاضبة قبل أن تتكرر الشكوى.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,متوسط,عدم وضوح حالة المعاملة على المنصة,4.25s
2026-05-27 13:01:28,"أقترح دمج الملاحظات المتشابهة حتى لا تتعامل الإدارات مع نفس الموضوع أكثر من مرة.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,متوسط,دمج الملاحظات المتشابهة لتجنب متابعة متعددة,3.37s
2026-05-27 13:01:40,"نحتاج ملخصًا أسبوعيًا للإدارة العليا عن أكثر الشكاوى تأثيرًا على رضا المستفيدين.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عالي,عدم وضوح حالة المعاملة,12.07s
2026-05-27 13:01:46,"أقترح إضافة تصنيف عاجل للحالات التي تتعلق بالسلامة العامة حتى لا تنتظر في المسار العادي.
",حالات عاجلة وحرجة,سلبي,حرج,حالة سلامة عامة تحتاج متابعة فورية,6.31s
2026-05-27 13:01:51,"خدمة الاستقبال كانت منظمة، والموظف أوضح لي الإجراءات دون تعقيد.
",المركز الشامل وخدمات الجمهور,إيجابي,منخفض,الخدمة كانت منظمة ووضحت الإجراءات بسهولة,4.63s
2026-05-27 13:01:56,"وصلني إشعار بحالة الطلب في الوقت المناسب، وكانت التجربة أفضل من المراجعة الحضورية.
",المركز الشامل وخدمات الجمهور,إيجابي,متوسط,تجربة ممتازة مع إشعار في الوقت المناسب,4.81s
2026-05-27 13:01:59,"نشكر المحافظة على إيصال ملاحظة الأهالي للإمارة ومتابعة الرد مع الجهة المختصة.
",رضا وشكر,إيجابي,متوسط,شكر المحافظة على إيصال ملاحظة الأهالي ومتابعة الرد مع الجهة المختصة,3.42s
2026-05-27 13:02:03,"تم الرد على استفساري بوضوح عبر الاتصال، ولم أحتج للحضور للمركز.
",الاستفسارات عن المتطلبات والإجراءات,إيجابي,متوسط,رد واضح عبر الاتصال دون الحاجة للحضور,3.33s
2026-05-27 13:02:07,"تجمع مياه أمام مدخل حي بعد الأمطار يعيق الحركة ويحتاج تنسيقًا عاجلًا مع الجهة المختصة.
",حالات عاجلة وحرجة,سلبي,عالي,تجمع مياه يعيق الحركة ويتطلب تنسيق عاجل مع الجهة المختصة,4.02s
2026-05-27 13:02:12,"يوجد انقطاع متكرر لخدمة ضرورية في مركز بعيد، ويؤثر على قدرة الأهالي على استخدام الخدمات الرقمية.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,يوجد انقطاع متكرر لخدمة ضرورية في مركز بعيد، ويؤثر على قدرة الأهالي على استخدام الخدمات الرقمية.,4.96s
2026-05-27 13:02:17,وردت عدة شكاوى في يوم واحد عن نفس الموقع الخطر، ونحتاج دمجها وتصعيدها بشكل عاجل.,الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,تطلب دمج وتصعيدها بشكل عاجل,4.93s
